controller,scenario,seed,shield_enabled,reward,whole_building_kwh,hvac_ventilation_kwh,electricity_cost,peak_power_kw,comfort_violation_percent,temperature_violation_percent,humidity_violation_percent,comfort_degree_hours,humidity_percent_hours,co2_violation_percent,co2_ppm_hours,co2_peak_ppm,switches,aggressive_transitions,shield_intervention_percent,shield_fallback_percent,critical_safety_violations,action_distribution
random_v2,normal_v2,901,False,-409.86897843880973,423.9100986927072,253.2759517260884,70.21773524193142,32.96469544876788,82.22222222222223,62.22222222222222,44.44444444444444,5.5018879885824115,27.718284963823756,13.541666666666666,288.09113616292586,1216.0464264683064,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,normal_v2,902,False,-396.39091081062503,423.08814364222076,253.06184355338053,70.1610055261228,32.36918742250065,86.66666666666667,64.44444444444444,48.888888888888886,5.133802632125557,27.200907316336295,14.583333333333334,271.81308194592896,1178.8090251433907,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,normal_v2,903,False,-467.1292199895038,421.7186667933803,253.47783003981448,69.86051146203818,32.26740028676394,84.44444444444444,64.44444444444444,51.111111111111114,7.614776826106458,28.037945992501598,14.583333333333334,282.70430738340315,1209.3977390077416,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,normal_v2,904,False,-405.73480364989325,421.3893323880035,252.62408057015227,69.8325054628512,32.415691624481475,84.44444444444444,66.66666666666667,37.77777777777778,6.045742322373195,23.9625451360473,10.416666666666666,205.64792243650925,1163.3326215852715,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,normal_v2,905,False,-393.9553541943964,424.8661384253481,252.9628600326784,70.47142558809145,33.08987722772556,84.44444444444444,64.44444444444444,44.44444444444444,4.7995989270535935,28.730228519689426,13.541666666666666,287.84385677517673,1190.7411554157302,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,hot_day_v2,901,False,-1234.335278478198,433.46328305977056,264.1192172969239,72.00513429881926,34.65824462416611,100.0,71.11111111111111,75.55555555555556,27.624572381888672,74.2911972299722,13.541666666666666,288.09113616292586,1216.0464264683064,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,hot_day_v2,902,False,-1099.2841496923747,432.50641406724174,263.86903319885533,71.91558353728911,34.06018015392176,100.0,71.11111111111111,75.55555555555556,24.374089653710417,72.37140401275639,14.583333333333334,271.81308194592896,1178.8090251433907,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,hot_day_v2,903,False,-1381.2832252302737,432.34940372117603,264.82664496256916,71.85206465888587,33.97510050076867,97.77777777777777,73.33333333333333,75.55555555555556,31.06183429773964,75.16856577051601,14.583333333333334,282.70430738340315,1209.3977390077416,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,hot_day_v2,904,False,-1123.0837894044373,430.6645876706658,263.01373889463594,71.57674873118492,34.02868545554542,97.77777777777777,71.11111111111111,62.22222222222222,26.428967237367857,64.01208739988438,10.416666666666666,205.64792243650925,1163.3326215852715,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,hot_day_v2,905,False,-1097.1560535989204,434.08544767148555,263.57685904440973,72.194503798446,34.54357546520906,100.0,71.11111111111111,71.11111111111111,24.39135838158733,74.77526153998338,13.541666666666666,287.84385677517673,1190.7411554157302,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_occupancy_v2,901,False,-701.0843869104552,446.08009869270717,253.2759517260884,74.65039774193141,35.919695448767875,86.66666666666667,66.66666666666667,46.666666666666664,9.965564791155334,29.510286840693382,35.416666666666664,1963.5533956943102,1612.7257065481508,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_occupancy_v2,902,False,-674.2309170073341,444.91564364222063,253.06184355338053,74.54471802612278,35.109187422500646,88.88888888888889,68.88888888888889,46.666666666666664,9.033953499686179,29.421920934857845,34.375,1932.3934871415881,1610.9017034862077,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_occupancy_v2,903,False,-760.5686351895931,443.75866679338014,253.47783003981448,74.2767614620382,35.08740028676394,91.11111111111111,68.88888888888889,46.666666666666664,12.339341005734306,29.11752048819864,33.333333333333336,1941.1341129428815,1604.415156237274,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_occupancy_v2,904,False,-685.8804276056293,443.52183238800325,252.62408057015227,74.27476796285123,35.08295244494985,88.88888888888889,68.88888888888889,44.44444444444444,10.333229404647849,26.461520782263882,34.375,1779.867856169933,1613.1443104741375,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_occupancy_v2,905,False,-684.906485871031,447.1098884253481,252.9628600326784,74.93392558809143,35.67538633362965,88.88888888888889,66.66666666666667,44.44444444444444,8.906608548454024,31.251043317444072,34.375,1999.1337175089952,1604.2436123552397,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_humidity_v2,901,False,-860.2157756945741,427.0979610140644,253.2759517260884,70.83930393690987,33.397758564215955,95.55555555555556,57.77777777777778,91.11111111111111,7.833541949013493,142.8912611897635,13.541666666666666,288.09113616292586,1216.0464264683064,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_humidity_v2,902,False,-811.7491021232612,426.2760059635777,253.06184355338053,70.78257422110127,32.80225053794873,95.55555555555556,62.22222222222222,88.88888888888889,6.791637330969649,139.14866025982508,14.583333333333334,271.81308194592896,1178.8090251433907,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_humidity_v2,903,False,-958.1328646419453,424.4483068555198,253.47783003981448,70.35269411578116,32.70046340221202,95.55555555555556,60.0,91.11111111111111,11.022039425111362,145.44063864025514,14.583333333333334,282.70430738340315,1209.3977390077416,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
random_v2,high_humidity_v2,904,False,-799.2255732943858,424.57603189619107,252.62408057015227,70.45388810772252,32.74409525238829,95.55555555555556,62.22222222222222,88.88888888888889,8.187274145858801,125.36055777462053,10.416666666666666,205.64792243650925,1163.3326215852715,79,41,0.0,0.0,0,"[0.20833333333333334, 0.2708333333333333, 0.22916666666666666, 0.2916666666666667]"
