step,selected,epsilon,training_reward,training_loss,steps_per_second,validation_reward,validation_energy_kwh,validation_comfort_percent,validation_co2_percent,validation_constraint_pass
5000,True,0.7840909090909092,-649.235228510425,0.11528606122732163,308.03426363669405,-321.44170438781146,382.0934634126707,72.03703703703705,0.0,False
10000,True,0.5681818181818182,-548.7255144863136,0.17596022168174386,267.6178232289781,-249.2694165993014,401.3925562851878,31.296296296296294,6.770833333333332,False
15000,True,0.3522727272727274,-388.62564581041437,0.1327177295833826,266.09770294414835,-239.7864904289123,411.1859608604829,24.444444444444446,1.4756944444444446,False
20000,True,0.13636363636363646,-344.3693796907098,0.11911854493245483,267.05102073860104,-219.3947601953098,389.92924643457224,20.740740740740737,1.8229166666666667,False
25000,True,0.050000000000000044,-301.17249876263406,0.13138509641960264,245.4030065843708,-230.27706070446254,398.7955949461869,14.444444444444443,4.513888888888889,False
30000,False,0.050000000000000044,-281.01674782131073,0.14683792143315078,251.63896737352144,-242.17464597307026,409.0575840083807,18.703703703703706,2.430555555555556,False
