step,selected,epsilon,training_reward,training_loss,steps_per_second,validation_reward,validation_energy_kwh,validation_comfort_percent,validation_co2_percent,validation_constraint_pass
5000,True,0.7840909090909092,-669.1847811000705,0.12780421439185738,307.69916417575615,-304.2396310766384,465.2385867643413,32.407407407407405,0.0,False
10000,False,0.5681818181818182,-571.9518157582344,0.14466507503017784,276.9221483396765,-231.2378715550686,388.5995740375857,52.96296296296297,3.7326388888888893,False
15000,False,0.3522727272727274,-382.40278067128435,0.13235130191594363,251.10575675449556,-231.81664811290736,378.1780422791564,33.333333333333336,3.125,False
20000,False,0.13636363636363646,-285.286005333048,0.11971240422502161,240.3300985815123,-235.97170432395458,375.1931615692046,43.51851851851851,3.7326388888888893,False
25000,False,0.050000000000000044,-276.2030018865483,0.11286144505254925,247.15427067040216,-237.78808020149305,413.13058798729,29.444444444444443,3.0381944444444446,False
30000,True,0.050000000000000044,-271.03264667656174,0.12233268088288606,261.1420908325332,-225.4001326072854,405.3281912414668,25.370370370370367,3.2986111111111107,False
