step,selected,epsilon,training_reward,training_loss,steps_per_second,validation_reward,validation_energy_kwh,validation_comfort_percent,validation_co2_percent,validation_constraint_pass
5000,True,0.7840909090909092,-695.8569443685135,0.1367769637107849,294.99939156283097,-297.19405977503624,381.0383425198343,68.51851851851852,0.43402777777777785,False
10000,True,0.5681818181818182,-591.4403417132415,0.21596370455622674,267.8661570329187,-220.39834840799278,380.29464626415756,32.407407407407405,4.340277777777778,False
15000,True,0.3522727272727274,-458.90476252266984,0.17638508307933806,269.6232008219107,-218.03752779390354,403.0341381384262,12.222222222222223,1.0416666666666667,False
20000,False,0.13636363636363646,-387.6818736429278,0.1659040569216013,263.98498888378464,-208.6298637975988,382.56777626600797,28.888888888888886,2.6041666666666665,False
25000,False,0.050000000000000044,-312.22650330336575,0.17324306263774633,250.81314373652532,-244.9119360938504,406.8307540137839,18.7037037037037,8.940972222222223,False
30000,False,0.050000000000000044,-298.74811243084434,0.18557723745703697,255.24407763510933,-230.2420257563568,408.83798895742865,30.740740740740737,3.125,False
