step,selected,epsilon,training_reward,training_loss,steps_per_second,validation_reward,validation_energy_kwh,validation_comfort_percent,validation_co2_percent,validation_constraint_pass
5000,True,0.7840909090909092,-728.2432481326579,0.15347357055172325,306.25524312928474,-347.38428371848175,453.1524052946774,33.333333333333336,3.038194444444444,False
10000,False,0.5681818181818182,-616.370982086785,0.17307224662601947,255.75076306570588,-244.47777995910647,379.69182056073527,52.22222222222222,5.989583333333335,False
15000,False,0.3522727272727274,-472.88644293678095,0.16804955588281154,258.7140265398658,-520.3588793314764,479.96919086663326,88.51851851851852,4.166666666666667,False
20000,False,0.13636363636363646,-342.26605382839364,0.1662804492339492,256.49346683661093,-225.96347654681816,377.1135188136996,42.59259259259259,2.8645833333333335,False
25000,True,0.050000000000000044,-315.1875834605107,0.17254486921802162,246.7883884583866,-222.85989429183917,394.5598098336681,17.40740740740741,3.559027777777778,False
30000,False,0.050000000000000044,-308.2698529450744,0.1847080135643482,252.6933714675925,-221.12347177527064,385.02160730512674,21.296296296296298,4.947916666666667,False
