step,action,reward,energy_component,comfort_component,co2_component,switch_component,peak_component,overcooling_component,energy_weight,comfort_weight,co2_weight,energy_priority_percent,comfort_priority_percent,co2_priority_percent,comfort_violation,co2_violation
35,3,-5.684164277768071,1.5744505347911633,0.8171926684511668,0.0,0.0,0.0,0.0,1.0,5.029063404063681,1.7884196699921813,12.791840935591313,64.330979119786,22.877179944622693,True,False
36,3,-6.254051277772311,1.6881779646005195,0.9023509993600485,0.0,0.0,0.05511122787532461,0.0,1.0,5.047759764024252,2.016717345601461,12.40005999652979,62.592523921969786,25.007416081500423,True,False
37,3,-6.580794662790994,1.7802414505717548,0.9486111791442973,0.0,0.0,0.11265090660734671,0.0,1.0,5.036861399006309,2.286520251119461,12.014347557700777,60.514603447628765,27.471048994670465,True,False
38,3,-6.895810042492842,1.841478805135954,0.9954655874586585,0.0,0.0,0.15092425320997122,0.0,1.0,5.0470317105999865,2.5799575909502623,11.591529385811366,58.50281638454155,29.90565422964707,True,False
39,3,-8.329018886112145,3.3531541093250268,0.9725902985133615,0.0,0.0,0.15626003769828517,0.0,1.0,5.083962668356321,2.844143838094904,11.200583228677045,56.94334699841201,31.856069772910942,True,False
40,3,-8.3081452066723,3.3659952336532113,0.9564546412703436,0.0,0.0,0.16068801160455576,0.0,1.0,5.133554858573114,3.3014735413002603,10.598802225263263,54.40953265855576,34.99166511618098,True,False
41,3,-8.515708596665311,3.3490891577825836,0.9816543547418923,0.0,0.0,0.15485833026985657,0.0,1.0,5.231625314980728,3.5691012455251836,10.203325170092086,53.3799742568338,36.416700573074124,True,False
42,3,-9.108821567942192,3.329994629515548,1.0676523065448464,0.0,0.0,0.14827401017777522,0.0,1.0,5.384873053847139,3.564398524696132,10.050987070818461,54.12328944221631,35.82572348696522,True,False
43,3,-9.611747040011767,3.3071050540042473,1.126650129356468,0.0,0.0,0.140381053104913,0.0,1.0,5.570998140275947,3.36417404281976,10.065250823749784,56.073493620520985,33.86125555572923,True,False
44,3,-10.111433731857515,3.262117779579007,1.1774360738777871,0.0,0.0,0.12486819985483014,0.0,1.0,5.795934457683245,3.1783699192028445,10.025761819714925,58.1086583954108,31.865579784874285,True,False
45,3,-10.333873075547423,3.2603756130116532,1.161180997884997,0.0,0.0,0.12426745276263915,0.0,1.0,6.070237098972349,2.958119211545821,9.971723870153648,60.5307281773148,29.497547952531548,True,False
46,3,-10.884177726698686,3.262540121872666,1.2212673817337958,0.0,0.0,0.12501383512850558,0.0,1.0,6.220287998698214,2.776495382781752,10.003217653516424,62.22289471853432,27.77388762794926,True,False
47,3,-10.315301652568383,1.8241027241006496,1.346198672576719,0.0,0.0,0.14006420256290592,0.0,1.0,6.286728891030638,2.591592181700028,10.123177740805806,63.64167397216212,26.235148287032075,True,False
48,3,-11.161849407390681,1.804055198162169,1.4716852057982805,0.0,0.0,0.1275344988513556,0.0,1.0,6.341225197270475,2.5166741468549745,10.144149022944966,64.3263333891653,25.529517587889746,True,False
49,3,-11.4598988041588,1.5833109714801432,1.5484114941147347,0.0,0.0,0.0,0.0,1.0,6.37852913790552,2.354626279541532,10.274160404419948,65.5340315071078,24.19180808847226,True,False
50,3,-11.977202146598904,1.6045289018327336,1.6265008216812973,0.0,0.0,0.0028305636454584613,0.0,1.0,6.376945522422507,1.5,11.265136160564174,71.83715959858957,16.89770424084626,True,False
51,3,-12.460010800360903,1.633973625254953,1.705792561753487,0.0,0.0,0.02123351578434569,0.0,1.0,6.344142139314237,1.5,11.30691913639392,71.73270215901522,16.96037870459088,True,False
52,3,-12.891637795614873,1.6427338757272505,1.7867618851043439,0.0,0.0,0.026708672329531603,0.0,1.0,6.292703173912349,1.5,11.373066737507596,71.56733315623102,17.059600106261392,True,False
53,3,-13.336241787562656,1.598501614977945,1.880870825134263,0.0,0.0,0.0,0.0,1.0,6.240588144455286,1.5,11.440877701512157,71.3978057462196,17.161316552268236,True,False
54,3,-14.298918566723563,1.8441016025070176,2.0031421026005027,0.0,0.0,0.15256350156688595,0.0,1.0,6.202407831063901,1.5,11.49107257913637,71.27231855215908,17.236608868704554,True,False
55,3,-15.007860948322211,1.8499411096503915,2.119670910678977,0.0,0.0,0.15621319353149463,0.0,1.0,6.192790179755196,1.5,11.50378623343422,71.24053441641446,17.25567935015133,True,False
56,3,-15.718141782873731,1.870385429638758,2.226056706027787,0.0,0.0,0.16899089352422383,0.0,1.0,6.205573351803777,1.5,11.486894195116994,71.28276451220752,17.230341292675494,True,False
57,3,-16.381104148947696,1.8884931030252108,2.3175610908471285,0.0,0.0,0.1803081893907567,0.0,1.0,6.237828838747069,2.0768822522284855,10.735706027091254,66.96749666010054,22.296797312808213,True,False
58,3,-16.981083198213973,1.8932223664243923,2.404535164283285,0.0,0.0,0.18326397901524522,0.0,1.0,6.259508390459666,2.764674296952081,9.975875651745538,62.444077344283485,27.580047003970982,True,False
59,3,-17.477359134065622,1.88302820344541,2.4824040913164893,0.0,0.0,0.17689262715338128,0.0,1.0,6.267695279594139,3.0740345422118063,9.66956222247714,60.60586949756177,29.72456827996109,True,False
60,3,-18.016581510195678,1.8951430149489343,2.5701625914067137,0.0,0.0,0.18446438434308393,0.0,1.0,6.258182136864211,3.1439538917710026,9.613410142370562,60.162471627332685,30.224118230296753,True,False
61,3,-18.393849677518563,1.8787832610928519,2.6426878996567353,0.0,0.0,0.1742395381830324,0.0,1.0,6.236157705542814,3.136528416698778,9.640704328802101,60.12095258691919,30.238343084278707,True,False
62,3,-18.7903111005211,1.9057256948860803,2.7164967021363395,0.0,0.0,0.19107855930380016,0.0,1.0,6.201505667400862,2.730659839292577,10.06829778789011,62.43860579268008,27.493096419429815,True,False
63,3,-19.114876128452682,1.9185522303383296,2.7795439212483437,0.0,0.0,0.1990951439614559,0.0,1.0,6.172417258158224,2.6304561496775554,10.201090623088788,62.96538781398927,26.833521562921945,True,False
64,3,-19.3741820900103,1.9352177593000062,2.830124425168563,0.0,0.0,0.20951109956250386,0.0,1.0,6.14710150411907,2.5758268201606835,10.28496731280879,63.22273803838238,26.492294648808837,True,False
65,3,-19.560750344834045,1.9497474341599546,2.869863097260481,0.0,0.0,0.21859214634997154,0.0,1.0,6.121297039630045,2.5623382346959325,10.326700373064229,63.21280042278455,26.460499204151223,True,False
66,3,-19.665984387468495,1.9623812506806306,2.8999586217550224,0.0,0.0,0.2264882816753941,0.0,1.0,6.089157737625296,2.5736783176438482,10.348928557622584,63.01625840277895,26.63481303959847,True,False
67,3,-19.7055114728387,1.9619821139324003,2.9251417975048852,0.0,0.0,0.22623882120775018,0.0,1.0,6.050401252261068,2.5824701728767714,10.38112060117828,62.80994508524223,26.808934313579485,True,False
68,3,-19.648161024660556,1.9727596055058134,2.9357494719595003,0.0,0.0,0.23297475344113341,0.0,1.0,6.004874270385191,2.5770618208139027,10.436304213284092,62.6686946482622,26.895001138453704,True,False
69,3,-21.08477897805607,3.5540525083356895,2.934777260076597,0.0,0.0,0.22553534770196199,0.0,1.0,5.958073765272264,2.5747718761641156,10.490047123529456,62.50047456317063,27.009478313299923,True,False
70,3,-20.696200387624494,3.4756781752276282,2.908947183198201,0.0,0.0,0.1985097155957339,0.0,1.0,5.9061987678953,2.424412609073277,10.71741132063835,63.299161536981366,25.983427142380293,True,False
71,3,-20.112700690696986,3.3734736310496096,2.8566404775339116,0.0,0.0,0.16326676932745166,0.0,1.0,5.848329125478325,2.067347657246892,11.216198437538402,65.59601999940033,23.187781563061268,True,False
72,3,-19.40601223844841,3.3071256024333193,2.7806431091357986,0.0,0.0,0.14038813877011017,0.0,1.0,5.779529546765801,1.564883809304566,11.984065953210758,69.26226326697163,18.753670779817604,True,False
73,3,-18.784180915031023,3.214584061076407,2.6792789383847833,0.0,0.0,0.10847726244014044,0.0,1.0,5.803017065046507,1.5,12.04381482256292,69.8904629435927,18.06572223384438,True,False
74,3,-18.32179549893046,3.13973422428867,2.5701585697870364,0.0,0.0,0.08266697389264496,0.0,1.0,5.900619540809062,1.5,11.903883935489954,70.24029016127511,17.855825903234933,True,False
75,3,-17.816592856855895,3.0729628879696476,2.453289203719333,0.0,0.0,0.05964237516194757,0.0,1.0,6.004877644070548,1.5,11.757958689707696,70.60510327573077,17.636938034561545,True,False
76,3,-17.159867006996073,2.9630156746438714,2.324704852371344,0.0,0.0,0.021729542980645354,0.0,1.0,6.105078418569494,1.5,11.62104458969288,70.94738852576779,17.431566884539322,True,False
77,3,-3.855571582489799,2.26802263121958,0.0,0.0,0.0,0.0,0.6666666666666666,1.552999604445066,2.9470003955549338,1.5,25.8833267407511,49.1166732592489,25.0,False,False
78,3,-3.638759820783853,2.2633745989597718,0.0,0.0,0.0,0.0,0.6666666666666666,1.4603974476737815,3.039602552326218,1.5,24.33995746122969,50.660042538770305,25.0,False,False
79,3,-3.4395796254805733,2.2602686063281343,0.0,0.0,0.0,0.0,0.6666666666666666,1.3742819253652416,3.1257180746347584,1.5,22.90469875608736,52.095301243912644,25.0,False,False
80,3,-3.258922405134165,2.2530827398937583,0.0,0.0,0.0,0.0,0.6666666666666666,1.2984827498784108,3.201517250121589,1.5,21.64137916464018,53.35862083535982,25.0,False,False
81,3,-2.012491856695257,1.360780856561934,0.0,0.0,0.0,0.0,0.6666666666666666,1.2339668913364812,3.2660331086635184,1.5,20.56611485560802,54.43388514439197,25.0,False,False
82,3,-1.9391268380614233,1.3559735337050527,0.0,0.0,0.0,0.0,0.6666666666666666,1.1842366128934914,3.315763387106508,1.5,19.73727688155819,55.262723118441805,25.0,False,False
83,3,-1.8903881078803766,1.3524738714090287,0.0,0.0,0.0,0.0,0.6666666666666666,1.1512642184539055,3.3487357815460945,1.5,19.187736974231758,55.81226302576824,25.0,False,False
84,3,-1.8710123252052466,1.3524738714090287,0.0,0.0,0.0,0.0,0.6666666666666666,1.1369380395274735,3.3630619604725265,1.5,18.94896732545789,56.05103267454211,25.0,False,False
85,3,-1.738878130723128,1.2324738714090289,0.0,0.0,0.0,0.0,0.6666666666666666,1.1404256349734232,3.359574365026577,1.5,19.00709391622372,55.99290608377628,25.0,False,False
86,3,-1.7325109726789907,1.2324738714090289,0.0,0.0,0.0,0.0,0.6666666666666666,1.1352594743011015,3.364740525698898,1.5,18.920991238351693,56.0790087616483,25.0,False,False
87,3,-1.7176489586847952,1.2324738714090289,0.0,0.0,0.0,0.0,0.6666666666666666,1.1232007894567693,3.376799210543231,1.5,18.720013157612822,56.27998684238718,25.0,False,False
88,3,-1.6956046108958,1.2324738714090289,0.0,0.0,0.0,0.0,0.6666666666666666,1.1053145297149762,3.3946854702850238,1.5,18.42190882858294,56.578091171417064,25.0,False,False
89,3,-1.1668750659260132,0.770296169630643,0.0,0.0,0.0,0.0,0.6666666666666666,1.0821055140289264,3.4178944859710736,1.5,18.035091900482104,56.96490809951789,25.0,False,False
90,0,-0.6253533205701912,0.494634290270209,0.0,0.0,1.0,0.0,0.0,1.0621045303656587,3.437895469634342,1.5,17.701742172760977,57.298257827239034,25.0,False,False
91,0,-0.35594264209971765,0.3346904997125327,0.0,0.0,0.0,0.0,0.0,1.0634978955346464,3.4365021044653536,1.5,17.72496492557744,57.27503507442256,25.0,False,False
92,0,-0.29113581929907684,0.2591384027344723,0.0,0.0,0.0,0.0,0.0,1.1234761665077904,3.37652383349221,1.5,18.72460277512984,56.27539722487017,25.0,False,False
93,0,-0.2782949905165853,0.22345011913259116,0.0,0.0,0.0,0.0,0.0,1.2454457021410232,3.254554297858977,1.5,20.757428369017052,54.24257163098295,25.0,False,False
94,0,-0.2911376692021526,0.2065921676343268,0.0,0.0,0.0,0.0,0.0,1.4092386586381795,3.0907613413618207,1.5,23.487310977302993,51.51268902269701,25.0,False,False
95,0,-0.3168075538818663,0.19862903519881647,0.0,0.0,0.0,0.0,0.0,1.594971015011777,2.9050289849882227,1.5,26.582850250196284,48.41714974980371,25.0,False,False
96,0,-0.3463539836256119,0.19486751778123432,0.0,0.0,0.0,0.0,0.0,1.77738182109161,2.72261817890839,1.5,29.623030351526833,45.376969648473164,25.0,False,False
